useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
00382b53b93cc5172361f150e31da69c6daf7eaba0d05923deae628706d10531,CIV.1.1_1,10.066,3,0.632,25927,5.43549,-4.02649,40864,1,8.0
004efc6b1831f2ca2518bf63f84fb73faacb3aae3c162be63bbc2eb5d20748e9,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
00d4111b39eb93a83303bc716e68c7556cdc87550c04452bcc970fdbde6dbd2d,CIV.1.1_1,0.0,1,-1.0,26361,5.42666,-4.01933,26361,1,8.0
0108b414386c6bfe460411644d241855080787b713817a93ae6cd30ebacbec47,CIV.1.1_1,16.022,1,0.0,98620,5.3421,-4.0155,119919,1,8.0
014d37692c2b0fa33687d325d22761bb5eadfd7dd03bb4b7f3ba73790f57fedd,CIV.1.1_1,12.524,1,0.0,30091,5.35396,-4.02506,57987,1,8.0
01779aaa17df718095dc531f6185e0170dd3b530a09926a938724e41d0f2e30e,CIV.1.1_1,535.679,3,128.464,13950,5.30365,-3.96057,59399,1,8.0
01ca3c64921edac82e211b8528f44651a86d56615d84bfe99cbf30b91f9fbf54,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
01d6c06b104a4647f453b74bbcf3e363bec709061a139f102056d2ae7659d6cb,CIV.1.1_1,1.551,1,0.0,55899,5.2597,-3.96057,57789,1,8.0
028f62dc9d895889cef55a25cf3226ac3e626c30f573db2539964b46ff334ef9,CIV.1.1_1,15.596,1,0.0,48035,5.37506,-3.96057,65979,1,8.0
02b238289469b7590accd7078374ed59842aa2d513079c69e971461cfd751a57,-1,20.114,0,-1.0,-1,,,84866,-1,-1.0
035f8c75bfade5c8a85199323485220b9ca13c4f4a92b5644d0202ae036a2050,CIV.1.1_1,16.618,1,0.0,55005,5.31989,-4.01251,74302,1,8.0
037a9c4d48e5463749d65c67ff908553cba754f804e081da1b72bbf980fa5bdd,CIV.1.1_1,14.691,1,0.0,34318,5.38055,-3.99353,34698,1,8.0
04412a9f87d9e2b64d5c8892d18f6ab90982340709528c7dea61d06ed33c5e16,-1,0.496,0,-1.0,-1,,,42767,-1,-1.0
04681e8fc8b8ba5407e7ab336f67d5ebf1b640711686b394071a6a42796c1ffe,-1,32.493,0,-1.0,-1,,,67280,-1,-1.0
0481a7dc5c4d5fcf1c0f05b466dbc7c1f0aed0d2b8608d88e85d179696f391c6,-1,7.465,0,-1.0,-1,,,7303,-1,-1.0
051eb6f0aff0d3c3ef52bc597af3ad4f8c23d48eb71180d10ccf1be0b9cafe46,CIV.3.2_1,78.02,3,0.638,5241,5.22125,-3.72986,75216,1,7.0
05f9086edb1cb798833a7bc7fada4b0417195b47c0457e98cb82c656fce8ae83,CIV.1.1_1,4.896,4,0.945,56700,5.30914,-4.0155,73520,1,8.0
060bc583819faa7e582c1a6f915609a895e492ab4afff2fa9a336054c89591eb,CIV.1.1_1,5.18,1,0.0,1683,5.30911,-3.98555,62132,1,8.0
0627d1e8114de448cd351441233cf7a324eaabd1534a01d65851e456af7744eb,CIV.1.1_1,0.163,1,0.0,41965,5.39172,-4.01143,65618,1,8.0
068387461d9ab522d3242d02f5177fd74991aa88ff3a48e4044c4a4657f030b9,-1,245.845,0,-1.0,-1,,,144756,-1,-1.0
06dcb05b9ee6c178e35890222308aea995d7778636dae96d38b5fb515ac0ae1f,CIV.1.1_1,470.809,1,0.0,872,5.28702,-3.96756,10607,1,8.0
074e5e2cfabe9885d0220bc1486ba6d105aab14a9865a404127b7444a0bca09f,CIV.1.1_1,10.981,2,4.095,3593,5.4366,-4.0624,12071,1,8.0
081db8b69fb16c322133ec25eeb6525533e3fe2c15736ab491de7ce633d7a42e,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
089c12f005eccff2b20354575f6926a3d23a1a79a6082626648b209a60f2d4b0,CIV.1.1_1,4.478,2,0.111,11024,5.29045,-4.01503,108237,1,8.0
08a62b134be3362320d78de44d25f9a749b36217c27d2300d9ecc3530e5d0198,-1,0.256,0,-1.0,-1,,,3270,-1,-1.0
092b2fd72a6209057c6e550cd267622d1a97b2b496191e96b7dd2886f760ea89,CIV.1.1_1,0.042,1,-1.0,16954,5.31278,-4.11311,16954,1,8.0
09c632d25d08ba232be1b167eb3852c44da3fd61aa7bddfb6ae027d970bdd6cc,CIV.1.1_1,1.231,1,0.0,81566,5.2597,-3.96057,82741,1,8.0
0a2221355c9adcd392734c256cb54508491df4d4f46ac32800b941b920220d67,CIV.1.1_1,49.398,4,5.795,23398,5.33661,-3.9386,67553,1,8.0
0a5547ca0645faf125403ce6f7763d5d057176547cd107cbbd6db115c62b9002,-1,9.81,0,-1.0,-1,,,13037,-1,-1.0
0a5dc2f491c2444cd6945ad178698afac9389b0683bd270ab78fb4f28899a655,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
0a70c49205e40833a74b7a9bff3e2530fe378b1f13f8d4d34f82865fa2d6be63,CIV.1.1_1,5.009,2,0.127,33898,5.30794,-3.94423,64614,1,8.0
